Date,Options,LP,cum_options,cum_lp,date_chart,sum
2021-01-03,0.006,0.005,0.006,0.005,2021-01-03,0.011
2021-01-10,0.0,0.004,0.006,0.009000000000000001,2021-01-10,0.015000000000000001
2021-01-17,0.009,0.007,0.015,0.016,2021-01-17,0.031
2021-01-24,-0.004,0.002,0.011,0.018000000000000002,2021-01-24,0.029
2021-01-31,0.003,0.005,0.013999999999999999,0.023000000000000003,2021-01-31,0.037000000000000005
2021-02-07,-0.006,0.002,0.007999999999999998,0.025,2021-02-07,0.033
2021-02-14,-0.005,-0.003,0.0029999999999999983,0.022000000000000002,2021-02-14,0.025
2021-02-21,-0.0,-0.0,0.0029999999999999983,0.022000000000000002,2021-02-21,0.025
2021-02-28,0.002,0.006,0.004999999999999998,0.028000000000000004,2021-02-28,0.033
2021-03-07,-0.003,0.002,0.0019999999999999983,0.030000000000000006,2021-03-07,0.032
2021-03-14,-0.005,0.001,-0.003000000000000002,0.031000000000000007,2021-03-14,0.028000000000000004
2021-03-21,0.002,0.006,-0.0010000000000000018,0.037000000000000005,2021-03-21,0.036000000000000004
2021-03-28,0.002,0.004,0.0009999999999999983,0.04100000000000001,2021-03-28,0.04200000000000001
2021-04-04,-0.001,-0.003,-1.734723475976807e-18,0.038000000000000006,2021-04-04,0.038000000000000006
2021-04-11,0.004,0.014,0.003999999999999998,0.052000000000000005,2021-04-11,0.056
2021-04-18,0.001,0.0,0.004999999999999998,0.052000000000000005,2021-04-18,0.057
2021-04-25,0.005,0.003,0.009999999999999998,0.05500000000000001,2021-04-25,0.065
2021-05-02,0.01,0.008,0.019999999999999997,0.063,2021-05-02,0.08299999999999999
2021-05-09,-0.007,0.007,0.012999999999999998,0.07,2021-05-09,0.083
2021-05-16,0.001,0.002,0.013999999999999999,0.07200000000000001,2021-05-16,0.08600000000000001
2021-05-23,0.0,-0.001,0.013999999999999999,0.07100000000000001,2021-05-23,0.085
2021-05-30,0.003,0.003,0.016999999999999998,0.07400000000000001,2021-05-30,0.09100000000000001
2021-06-06,-0.006,0.005,0.010999999999999998,0.07900000000000001,2021-06-06,0.09000000000000001
2021-06-13,0.0,0.003,0.010999999999999998,0.08200000000000002,2021-06-13,0.09300000000000001
2021-06-20,0.004,-0.004,0.014999999999999998,0.07800000000000001,2021-06-20,0.09300000000000001
2021-06-27,-0.002,-0.006,0.012999999999999998,0.07200000000000001,2021-06-27,0.085
2021-07-04,0.008,-0.002,0.020999999999999998,0.07,2021-07-04,0.091
2021-07-11,-0.003,-0.003,0.018,0.067,2021-07-11,0.085
2021-07-18,-0.001,0.001,0.016999999999999998,0.068,2021-07-18,0.085
2021-07-25,-0.001,-0.002,0.015999999999999997,0.066,2021-07-25,0.082
2021-08-01,0.001,0.008,0.016999999999999998,0.07400000000000001,2021-08-01,0.09100000000000001
2021-08-08,-0.006,0.005,0.010999999999999998,0.07900000000000001,2021-08-08,0.09000000000000001
2021-08-15,0.003,0.003,0.013999999999999999,0.08200000000000002,2021-08-15,0.09600000000000002
2021-08-22,-0.003,0.001,0.011,0.08300000000000002,2021-08-22,0.09400000000000001
2021-08-29,-0.0,-0.001,0.011,0.08200000000000002,2021-08-29,0.09300000000000001
2021-09-05,0.01,0.009,0.020999999999999998,0.09100000000000001,2021-09-05,0.11200000000000002
2021-09-12,0.002,0.002,0.023,0.09300000000000001,2021-09-12,0.11600000000000002
2021-09-19,0.01,0.005,0.033,0.09800000000000002,2021-09-19,0.131
2021-09-26,-0.006,-0.001,0.027000000000000003,0.09700000000000002,2021-09-26,0.12400000000000003
2021-10-03,-0.005,-0.002,0.022000000000000002,0.09500000000000001,2021-10-03,0.11700000000000002
2021-10-10,0.001,0.01,0.023000000000000003,0.10500000000000001,2021-10-10,0.128
2021-10-17,0.001,0.006,0.024000000000000004,0.11100000000000002,2021-10-17,0.135
2021-10-24,0.011,0.001,0.035,0.11200000000000002,2021-10-24,0.14700000000000002
2021-10-31,0.0,-0.004,0.035,0.10800000000000001,2021-10-31,0.14300000000000002
2021-11-07,-0.004,0.004,0.031000000000000003,0.11200000000000002,2021-11-07,0.14300000000000002
2021-11-14,-0.002,-0.001,0.029000000000000005,0.11100000000000002,2021-11-14,0.14
2021-11-21,-0.001,0.007,0.028000000000000004,0.11800000000000002,2021-11-21,0.14600000000000002
2021-11-28,0.004,0.003,0.032,0.12100000000000002,2021-11-28,0.15300000000000002
2021-12-05,0.002,-0.002,0.034,0.11900000000000002,2021-12-05,0.15300000000000002
2021-12-12,0.006,0.005,0.04,0.12400000000000003,2021-12-12,0.16400000000000003
2021-12-19,0.002,0.001,0.042,0.12500000000000003,2021-12-19,0.16700000000000004
2021-12-26,0.005,0.004,0.047,0.12900000000000003,2021-12-26,0.17600000000000005
