Date,Options,LP,cum_options,cum_lp,date_chart,sum
2021-01-03,0.001,-0.005,0.001,-0.005,2021-01-03,-0.004
2021-01-10,0.006,0.001,0.007,-0.004,2021-01-10,0.003
2021-01-17,0.0,-0.007,0.007,-0.011,2021-01-17,-0.003999999999999999
2021-01-24,0.0,-0.005,0.007,-0.016,2021-01-24,-0.009000000000000001
2021-01-31,0.007,0.004,0.014,-0.012,2021-01-31,0.002
2021-02-07,0.01,0.009,0.024,-0.003000000000000001,2021-02-07,0.020999999999999998
2021-02-14,0.003,0.001,0.027,-0.002000000000000001,2021-02-14,0.024999999999999998
2021-02-21,0.004,0.006,0.031,0.003999999999999999,2021-02-21,0.034999999999999996
2021-02-28,0.008,-0.001,0.039,0.002999999999999999,2021-02-28,0.041999999999999996
2021-03-07,0.008,-0.004,0.047,-0.0010000000000000009,2021-03-07,0.046
2021-03-14,0.005,0.007,0.052,0.005999999999999999,2021-03-14,0.057999999999999996
2021-03-21,0.002,0.001,0.054,0.006999999999999999,2021-03-21,0.061
2021-03-28,0.005,-0.001,0.059,0.005999999999999999,2021-03-28,0.065
2021-04-04,-0.004,-0.002,0.05499999999999999,0.003999999999999999,2021-04-04,0.05899999999999999
2021-04-11,-0.002,0.012,0.05299999999999999,0.016,2021-04-11,0.06899999999999999
2021-04-18,0.0,0.0,0.05299999999999999,0.016,2021-04-18,0.06899999999999999
2021-04-25,0.012,0.0,0.06499999999999999,0.016,2021-04-25,0.08099999999999999
2021-05-02,-0.008,0.004,0.05699999999999999,0.02,2021-05-02,0.07699999999999999
2021-05-09,-0.002,0.002,0.054999999999999986,0.022,2021-05-09,0.07699999999999999
2021-05-16,-0.003,0.004,0.051999999999999984,0.026,2021-05-16,0.07799999999999999
2021-05-23,0.009,0.001,0.060999999999999985,0.027,2021-05-23,0.08799999999999998
2021-05-30,-0.004,0.003,0.05699999999999998,0.03,2021-05-30,0.08699999999999998
2021-06-06,0.003,0.002,0.059999999999999984,0.032,2021-06-06,0.09199999999999998
2021-06-13,0.006,0.012,0.06599999999999999,0.044,2021-06-13,0.10999999999999999
2021-06-20,0.006,0.006,0.072,0.049999999999999996,2021-06-20,0.122
2021-06-27,0.006,0.006,0.078,0.055999999999999994,2021-06-27,0.134
2021-07-04,0.006,0.007,0.084,0.063,2021-07-04,0.14700000000000002
2021-07-11,0.006,-0.004,0.09000000000000001,0.059,2021-07-11,0.14900000000000002
2021-07-18,0.004,0.005,0.09400000000000001,0.064,2021-07-18,0.15800000000000003
2021-07-25,0.006,-0.007,0.10000000000000002,0.057,2021-07-25,0.15700000000000003
2021-08-01,0.005,0.005,0.10500000000000002,0.062,2021-08-01,0.16700000000000004
2021-08-08,0.011,0.009,0.11600000000000002,0.071,2021-08-08,0.187
2021-08-15,0.001,0.004,0.11700000000000002,0.075,2021-08-15,0.192
2021-08-22,-0.005,0.011,0.11200000000000002,0.086,2021-08-22,0.198
2021-08-29,-0.001,0.006,0.11100000000000002,0.092,2021-08-29,0.203
2021-09-05,0.002,0.01,0.11300000000000002,0.102,2021-09-05,0.21500000000000002
2021-09-12,-0.002,0.003,0.11100000000000002,0.105,2021-09-12,0.21600000000000003
2021-09-19,0.004,0.001,0.11500000000000002,0.106,2021-09-19,0.22100000000000003
2021-09-26,-0.005,-0.001,0.11000000000000001,0.105,2021-09-26,0.21500000000000002
2021-10-03,-0.001,-0.002,0.10900000000000001,0.103,2021-10-03,0.21200000000000002
2021-10-10,-0.007,0.012,0.10200000000000001,0.11499999999999999,2021-10-10,0.217
2021-10-17,0.002,-0.003,0.10400000000000001,0.11199999999999999,2021-10-17,0.216
2021-10-24,0.011,0.007,0.115,0.119,2021-10-24,0.23399999999999999
2021-10-31,-0.001,0.003,0.114,0.122,2021-10-31,0.236
2021-11-07,0.0,-0.001,0.114,0.121,2021-11-07,0.235
2021-11-14,-0.007,0.001,0.107,0.122,2021-11-14,0.22899999999999998
2021-11-21,0.005,0.001,0.112,0.123,2021-11-21,0.235
2021-11-28,0.001,-0.002,0.113,0.121,2021-11-28,0.23399999999999999
2021-12-05,0.001,0.001,0.114,0.122,2021-12-05,0.236
2021-12-12,0.007,0.003,0.12100000000000001,0.125,2021-12-12,0.246
2021-12-19,0.001,-0.005,0.12200000000000001,0.12,2021-12-19,0.242
2021-12-26,0.004,0.006,0.126,0.126,2021-12-26,0.252
